id,name,category,theme,address,address_detail,lat,lng,tags,description,main_menu,sub_menus,opening_hours,closed,phone
KCLANPO23N000000155,팜스테이펜션,관광지,팜스테이,제주특별자치도 서귀포시 호근동 nan 569-8,nan nan,33.2505176,126.5368342,"['팜스테이', '제주']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000000168,한라산국립공원성판악매표소,관광지,관광안내소/매표소,제주특별자치도 제주시 조천읍 교래리 산137-24,516로 1865,33.38501797,126.6193109,"['매표소', '제주', '관광안내소']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000000264,한라산국립공원영실매표소,관광지,관광안내소/매표소,제주특별자치도 서귀포시 하원동 nan 산1-1,영실로 246,33.34008032,126.4805151,"['매표소', '제주', '관광안내소']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000000296,한라산국립공원어리목매표소,관광지,관광안내소/매표소,제주특별자치도 제주시 해안동 nan 산220-13,1100로 2070-61,33.39209963,126.4940964,"['매표소', '제주', '관광안내소']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000000361,오현단,관광지,유명사적/유적지,제주특별자치도 제주시 이도일동 nan 1437-6,nan nan,33.51018776,126.5254974,"['유명사적', '제주', '유적지']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000000368,제주관광안내소,관광지,관광안내소/매표소,제주특별자치도 제주시 용담이동 nan 483,용두암길 15,33.51484201,126.5114212,"['매표소', '제주', '관광안내소']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000000561,제주드림랜드,관광지,일반관광지,제주특별자치도 제주시 애월읍 봉성리 4554,평화로 1529,33.36301766,126.3641092,"['일반관광지', '제주', '서부지역']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000000619,일출랜드,관광지,유명관광지,제주특별자치도 서귀포시 성산읍 삼달리 1010,중산간동로 4150-30,33.38321007,126.8414037,"['동부지역', '제주', '유명관광지']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000000624,도깨비공원,관광지,유명관광지,제주특별자치도 제주시 조천읍 선흘리 799519,번영로 1488,33.46336387,126.692139,"['제주', '유명관광지']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000000678,중문색달해수욕장,관광지,해수욕장,제주특별자치도 서귀포시 색달동 nan nan,nan nan,33.24523383,126.4101166,"['해수욕장', '제주']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000000691,김녕해수욕장,관광지,해수욕장,제주특별자치도 제주시 구좌읍 김녕리 nan,nan nan,33.55837636,126.759417,"['동부지역', '해수욕장', '제주']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000000710,삼양해수욕장,관광지,해수욕장,제주특별자치도 제주시 삼양이동 nan 22037,nan nan,33.52561191,126.5857531,"['해수욕장', '제주']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000000724,표선해수욕장,관광지,해수욕장,제주특별자치도 서귀포시 표선면 표선리 nan,nan nan,33.32738446,126.8378419,"['남부지역', '해수욕장', '제주']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000000733,곽지해수욕장,관광지,해수욕장,제주특별자치도 제주시 애월읍 곽지리 1565,곽지1길 31,33.45068213,126.3047789,"['해수욕장', '제주', '서부지역']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000000735,이호테우해수욕장,관광지,해수욕장,제주특별자치도 제주시 이호일동 nan nan,nan nan,33.49797776,126.4530919,"['해수욕장', '제주']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000000736,신양섭지해수욕장,관광지,해수욕장,제주특별자치도 서귀포시 성산읍 고성리 186-2,신양로122번길 16,33.43484851,126.9232803,"['동부지역', '해수욕장', '제주']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000000877,검멀레해수욕장,관광지,해수욕장,제주특별자치도 제주시 우도면 연평리 nan,nan nan,33.49740897,126.9670246,"['해수욕장', '제주']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000000931,하고수동해수욕장,관광지,해수욕장,제주특별자치도 제주시 우도면 연평리 nan,nan nan,33.51373416,126.9578391,"['해수욕장', '제주']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000000937,서빈백사해수욕장,관광지,해수욕장,제주특별자치도 제주시 우도면 연평리 nan,nan nan,33.50253617,126.9429863,"['해수욕장', '제주']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000000954,사계해안,관광지,해수욕장,제주특별자치도 서귀포시 안덕면 사계리 nan,nan nan,33.22467949,126.2993176,"['해수욕장', '제주']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000001175,절물자연휴양림,관광지,휴양림/수목원,제주특별자치도 제주시 봉개동 nan 산78-1,명림로 584,33.43698783,126.6281103,"['휴양림', '제주', '수목원']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000001201,서귀포자연휴양림,관광지,휴양림/수목원,제주특별자치도 서귀포시 하원동 nan 산1-1,영실로 226,33.31183254,126.4649011,"['휴양림', '제주', '수목원']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000001532,소정방폭포,관광지,폭포/계곡,제주특별자치도 서귀포시 동홍동 nan nan,nan nan,33.24499534,126.5775276,"['폭포', '계곡', '제주']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000001569,안덕계곡,관광지,폭포/계곡,제주특별자치도 서귀포시 안덕면 감산리 411,nan nan,33.25689043,126.3526003,"['폭포', '계곡', '제주']",,없음,[],정보 없음,정보 없음,
KCLANPO23N000001715,탐라계곡,관광지,폭포/계곡,제주특별자치도 제주시 오라이동 nan 산107-20,nan nan,33.4020727,126.5371057,"['폭포', '계곡', '제주']",,없음,[],정보 없음,정보 없음,
