중복주소그룹,address,name
0,제주특별자치도 서귀포시 남원읍 남원리 175012,남원큰엉해변
0,제주특별자치도 서귀포시 남원읍 남원리 175012,남원큰엉해안경승지
1,제주특별자치도 서귀포시 남원읍 남원리 2019,최남단농촌체험테마공원
1,제주특별자치도 서귀포시 남원읍 남원리 2019,최남단곤충나비체험장
1,제주특별자치도 서귀포시 남원읍 남원리 2019,최남단감귤체험농장
2,제주특별자치도 서귀포시 남원읍 남원리 2380,제주코코몽에코파크
2,제주특별자치도 서귀포시 남원읍 남원리 2380,다이노대발이파크
3,제주특별자치도 서귀포시 남원읍 신례리 2081,휴애리자연생활공원
3,제주특별자치도 서귀포시 남원읍 신례리 2081,휴애리유채꽃축제
4,제주특별자치도 서귀포시 남원읍 신례리 42186,휴애리핑크뮬리축제
4,제주특별자치도 서귀포시 남원읍 신례리 42186,휴애리유럽수국축제
4,제주특별자치도 서귀포시 남원읍 신례리 42186,휴애리동백축제
4,제주특별자치도 서귀포시 남원읍 신례리 42186,휴애리매화축제
5,제주특별자치도 서귀포시 남원읍 한남리 산14,토종흑염소목장2
5,제주특별자치도 서귀포시 남원읍 한남리 산14,토종흑염소목장
6,제주특별자치도 서귀포시 대정읍 구억리 654-1,노리매공원
6,제주특별자치도 서귀포시 대정읍 구억리 654-1,제주노리매매화축제
7,제주특별자치도 서귀포시 대정읍 동일리 10,정난주마리아묘
7,제주특별자치도 서귀포시 대정읍 동일리 10,대정성지
8,제주특별자치도 서귀포시 대정읍 영락리 1580-2,선셋코스트
8,제주특별자치도 서귀포시 대정읍 영락리 1580-2,노을해안캠핑장
9,제주특별자치도 서귀포시 대포동 nan 1161,자연치유정원
9,제주특별자치도 서귀포시 대포동 nan 1161,제주올레걷기축제
10,제주특별자치도 서귀포시 동홍동 nan nan,제주헬스케어타운
10,제주특별자치도 서귀포시 동홍동 nan nan,소정방폭포
11,제주특별자치도 서귀포시 법환동 nan 914,제주감귤축제
11,제주특별자치도 서귀포시 법환동 nan 914,제주월드컵경기장매표소
11,제주특별자치도 서귀포시 법환동 nan 914,제주월드컵경기장워터월드
11,제주특별자치도 서귀포시 법환동 nan 914,서귀포유채꽃국제걷기대회
12,제주특별자치도 서귀포시 상예동 nan 144,대유랜드
12,제주특별자치도 서귀포시 상예동 nan 144,대유수렵장
13,제주특별자치도 서귀포시 상효동 nan 1562,상효수목원캠핑장
13,제주특별자치도 서귀포시 상효동 nan 1562,캠핑홀리데이
14,제주특별자치도 서귀포시 상효동 nan 산156,원앙폭포
