ID,명칭,우편번호,관리자,문의 및 안내,주소,위도,경도,개요,주차 시설,어린이놀이방,영업시간,쉬는날,대표메뉴,취급메뉴,금연/흡연,신용카드정보,포장가능,예약안내,상세정보,카페/음식점
1018723,하영 흑돼지구이집,63534.0,하영,064-738-6011,제주특별자치도 서귀포시 천제연로 101 ,33.25507515,126.4165963,하영은 제주방언으로 많이라는 뜻이다. 제주 중문관광단지 입구에 위치한 흑돼지구이 전문점으로 깔끔한 인테리어와 여유 있는 공간에서 요리를 맛볼 수 있다. 넓은 공간으로 단체나 가족 모임 일반 여행객 등 누구나 부담 없이 편하게 식사를 즐길 수 있으며  도로보다 약간 높은 언덕에 위에 있어 중문 앞바다와 관광단지 일대의 아름다운 전망을 감상하며 하는 식사는 하영의 또 다른 매력이다. 흑돼지 오겹살  모듬구이  양념갈비 등 단품 메뉴들도 있지만 하영특선 등의 세트 메뉴와 하영스페셜은 전복요리  양념갈비구이  생흑돼지  전복뚝배기  영양돌솥밥을 한 번에 맛 볼 수 있다. 멜젓  자리돔젓과 함께 먹는 흑돼지구이는 하영의 별미이며 낮에는 야외테라스에서 바다를 감상하며 식사를 할 수 있다.,가능,0.0,10:00~22:00 (마지막 주문 21:00),연중무휴,흑돼지 모둠한판,고사리강된장 / 전복버터구이 / 찰 돌솥밥 등,모두 금연석,가능,,,"화장실:있음

",음식점
1019521,진주식당,63592.0,진주식당,064-762-5158,제주특별자치도 서귀포시 태평로 353 ,33.246645,126.5591647,제주도의 별미로는 오분자기 뚝배기  옥돔구이가 유명한데  제주도 서귀포시에서 오분자기 뚝배기  옥돔구이 등 제주 토속음식으로 가장 유명한 식당이 진주식당이다. 또한 진주식당에서는 오분작젓  전복젓  갈치젓  조기젓 등 젓갈류도 포장 판매해 제주청정해역의 맛깔난 해산물의 풍미를 여행에서 돌아와서도 느낄 수 있게 한다. 근처에 천지연폭포가 위치하고 있어 관광과 더불어 식도락을 즐기기에는 제격인 곳이다.,가능,0.0,08:00~20:00,연중무휴,전복뚝배기,전복죽 / 전복볶음 / 오분작뚝배기 / 성게국 / 옥돔구이 등,모두 금연석,가능,일부 메뉴 포장 가능,전화 예약 가능 (064-762-5158),"화장실:실내  남여분리

",음식점
1308810,해진횟집,63276.0,해진횟집,064-722-4584,제주특별자치도 제주시 서부두길 22-1 (건입동),33.51838948,126.5284973,제주시 탑동 서부두 방파제 입구에 위치한 해진 횟집은 2층과 3층이 한쪽이 유리벽으로 되어있어 바다의 전경을 한눈에 볼 수 있고 푸른 바다를 바라보며 싱싱한 회와 바다의 멋을 함께 즐길 수 있는 곳이다. 150명까지 수용 가능한 단체석이 완비되어 있어 단체 회식이나 세미나  팀 회식하기에도 좋다. 당일 들어온 싱싱한 해산물을 제공하고 있다.,가능 (20대),0.0,11:00~23:00,연중무휴,활어회,전복구이 / 고등어구이 / 키조개 / 낙지 / 소라 / 회정식 / 매운탕 등,모두 금연석,가능,가능(일부 메뉴),전화 예약 가능 (064-722-4584),"화장실:남녀개별 화장실 / 업소내 위치
",음식점
133974,옹포별장가든,63012.0,옹포별장가든,064-796-3146,제주특별자치도 제주시 한림읍 한림상로 24 ,33.40502274,126.2579067,한림읍 옹포리에 위치한 옹포 별장가든은 유명 인사들이 많이 방문해서 일대에서는 유명한 업소로서 통갈치 구이  전복 돌솥밥  삼계탕 등의 메뉴를 구비해 놓고 있다. 업주가 직접 개발한 선인장 백김치와 귤 김치는 이 집만의 독창성과 창의성  그리고 업주의 음식 개선에 대한 열의 등을 보여준다. 대체로 식당의 내  외관  화장실 등은 청결한 편이나 화장실이 별채로 위치해 있다.<br>,가능,0.0,11:00~21:00 (브레이크타임 16:00~17:00)<br>라스트오더 19:30,매주 월요일,통갈치구이,묵은지통갈치조림 / 돔베고기 / 전복돌솥밥 / 전복죽 / 삼계탕 외,모두 금연석,가능,,전화 예약 가능 (064-796-3146),,음식점
133975,종달해녀의집,63364.0,종달해녀의집,064-783-1752,제주특별자치도 제주시 구좌읍 해맞이해안로 2276 ,33.49715075,126.9109146,제주시 구좌읍에 위치하며 어촌계 직영으로 운영되는 종달해녀의집은 활전복해물뚝배기  갈치조림  생선회 등 다양한 메뉴를 제공한다. 올레 21코스 종달비당으로 향하는 길에 있어 올레길을 걷고난 후에 식사하기도 편리하다.,가능,0.0,08:20~21:00 (브레이크타임 15:00~17:00),연중무휴,활전복해물뚝배기,전복물회 / 모둠물회 / 전북죽 / 성게미역국 등,모두 금연석,가능,가능,전화 예약 가능 (064-783-3033),,음식점
133976,초원흑돼지,63333.0,초원흑돼지,064-783-8527,제주특별자치도 제주시 조천읍 신북로 598 ,33.53965055,126.6732537,제주도 제주시 조천읍 함덕리에 위치한 초원흑돼지은 조약돌 위에 흑돼지 삼겹살과 갈비를 구워 먹는데  담백함과 쫄깃한 맛이 일품이다. 1년동안 숙성시킨 깻잎지에 고기를 싸먹으면 그 맛이 특별하여 다시 찾아오는 손님이 많아 단골고객이 늘었다. 쌈에 이용되는 모든 야채를 텃밭에서 유기농으로 재배하여 손님들이 안심하고 먹을 수 있도록 하고 있다.,가능,0.0,11:30~22:00 (마지막 주문 21:00),매주 월요일,흑돼지오겹살,흑돼지 목살 / 수입산 양념갈비 / 비빔국수 등,모두 금연석,가능,가능(일부 메뉴),전화 예약 가능 (064-783-8527),,음식점
1823088,서귀포시축협 축산물플라자,63598.0,흑한우명품관,064-732-1486,제주특별자치도 서귀포시 일주동로 8421 ,33.25722763,126.5884813,제주도 특산물인 흑한우를 맛볼 수 있는 곳이다. 서귀포시 축협 조합원이 직접 키우고 출하한 1등급 이상의 한우만 판매하고 있다. 넓은 주차장과 어린이 놀이방 시설을 구비하고 있어 단체 회식이나 모임을 하기에도 좋다. 대표메뉴인 한우 생고기뿐만 아니라 식사류인 불고기전골  돌솥비빔밥  한우탕  갈비탕 등의 메뉴도 준비되어 있다.,가능,1.0,11:00~21:30 (브레이크타임 15:00~17:00),매주 월요일,모듬구이,살치살 / 안창살 / 불고기전골 / 내장탕 / 갈비탕 외,모두 금연석,가능,가능,전화 예약 가능 (064-732-1486),,음식점
1847757,동복해녀촌,63347.0,해녀촌,064-783-5438,제주특별자치도 제주시 구좌읍 동복로 33 ,33.55362737,126.7099307,동복해녀촌은 회국수와 성게국수로 유명한 곳이다. 회국수는 탱글탱글 잘 삶아진 국수와 먹기 좋게 잘린 깻잎  상추 등 채소와 회  고추장 양념을 넣고 비벼 먹으면 매콤하고 고소한 맛이 입안에 가득 퍼진다. 일반 국수와 다를 바 없어 보이지만 커다란 접시에 한가득 나오는 회와 굵은 면발은 가격도 저렴할 뿐만 아니라 양도 푸짐하여 인기가 좋다. 성게가 듬뿍 올려져 있는 성게국수도 손님들이 즐겨 찾는 메뉴다. 동복리 해녀회에서 운영하기 때문에 언제나 싱싱한 횟감으로 국수를 말아 계절에 따라 다른 회국수를 맛볼 수 있다. 그리고 이곳은 단체석이 존재하여 단체 관광객들도 많이 찾는 곳이다.,가능<br>요금 (무료),0.0,09:00~19:00<br>라스트 오더 18:30,"매주 둘째 주, 넷째 주 화요일",회국수,회국수 / 성게국수 / 소라국수 / 전복국수 / 모듬물회 외,모두 금연석,가능,,전화 예약,,음식점
1861360,모이세해장국,63145.0,모이세해장국,064-746-5128,제주특별자치도 제주시 연북로 221 ,33.48171261,126.505139,"계란을 풀어먹으면 더 맛있는 해장국 맛집이다. 대표메뉴는 해장국이다. 제주특별자치도 제주시에 있는 한식전문점이다. 야들야들한 고기가 푸짐하게 들어가 건더기를 건져 먹는 재미가 쏠쏠한 모이세해장국은 날달걀을 터뜨려도 빨갛고 걸죽한 국물이 일품이다. 또한 이 집 내장탕에는 두부가 들어가있다는게 특징이며 느끼하지 않고 감칠맛나는 국물이 자꾸만 손이 가게 한다.

(출처 : 제주 문화관광 홈페이지)",가능,0.0,06:00~16:00,연중무휴,모이세해장국,내장탕 / 육개장 / 순두부 등,모두 금연석,가능,가능,전화 예약 문의 (064-746-5128),"부대시설:
",음식점
1865762,삼다도횟집,63114.0,삼다도횟집,064-711-7085,제주특별자치도 제주시 서해안로 572 ,33.5189945,126.4993276,삼다도횟집은 제주공항 부근 용두암 해안도로에 자리하고 있으며 자연산 활어회를 제공하는 음식점이다. 이곳은 청청해역의 바닷물로 항시 직수 공급되는 수족관에서 신선한 활어와 해산물을 제공한다. 깨끗한 플랑크톤을 먹고 자란 싱싱한 해산물을 맛볼 수 있어  바다의 신선함을 그대로 느낄 수 있다. 제주 삼다도횟집은 제주를 방문하는 관광객뿐만 아니라 현지인들에게도 인기가 높은 장소로  신선한 회와 다양한 해산물 요리를 맛볼 수 있는 최적의 장소이다. 제주공항 근처에서 접근이 용이하여 편리하게 방문할 수 있다.,가능,0.0,10:00~22:00,매주 월요일,모듬회,해산물모듬 / 생선초밥 / 회덮밥 / 매운탕 등,모두 금연석,가능,,전화 예약 가능 (064-711-7080),"부대시설:
",음식점
