ID,명칭,우편번호,관리자,문의 및 안내,주소,위도,경도,개요,주차 시설,어린이놀이방,영업시간,쉬는날,대표메뉴,취급메뉴,금연/흡연,신용카드정보,포장가능,예약안내,상세정보,카페/음식점
1945496,카페동네,63364.0,카페동네,070-8900-6621,제주특별자치도 제주시 구좌읍 종달로5길 23 ,33.49330098,126.8986491,카페동네는 제주시 구좌읍 종달리에 위치한 로스팅 커피 전문점으로 제주올레 1코스를 걷다 보면 보이는 작은 카페이다. 이곳은 종달리 마을이 오롯이 내려다보이는 경치를 볼 수 있으며 내부는 나무 인테리어로 따뜻하고 아늑한 느낌을 주는 공간이다. 메뉴는 직접 커피를 로스팅 한 더치커피 및 드립커피와 건강을 생각한 수제차  생과일주스  에이드  발효음료 등 다양한 메뉴를 맛볼 수 있으며  제주 구좌읍의 당근을 이용한 당근빙수가 인기 메뉴이다.,가능,0.0,10:00~16:30 (라스트오더 16:00),매주 일요일,더치커피,핸드드립커피 / 에이드 / 구좌 향당근주스 / 한라봉주스 / 파니니 / 샐러드 / 빙수,모두 금연석,가능,일부 메뉴 포장 가능,,,카페
1966821,모드락572,63623.0,모드락572,064-787-5827,제주특별자치도 서귀포시 표선면 가시로 572 ,33.35446708,126.7737631,제주 서귀포시 표선면 가시리에 있는 갤러리 카페 모드락 572는 따라비 오름 근처에 있는 갤러리 카페이다. 여러 나라의 커피를 맛볼 수 있으며  원두를 따로 판매한다. 원두는 가게에서 직접 로스팅 하며 핸드드립  에스프레소  더치커피  밀크티  허브티 등 다양한 종류의 음료를 맛볼 수 있다. 음료 이외에도 파스타와 단호박 수프  베이글 등의 음식도 준비되어 있다.,가능,0.0,10:00~22:00 (전화문의),방문 전 전화문의,아메리카노,카페라떼 / 아포카토 / 카페러쉬 / 카라멜러쉬 / 녹차라떼 / 초코라떼 / 허브티 / 밀크티 외,모두 금연석,가능,,,,카페
1984133,바다는안보여요,63364.0,바다는안보여요,064-782-4518,제주특별자치도 제주시 구좌읍 종달로5길 31-1 ,33.49332321,126.899449,바다는안보여요 카페는 이름처럼 바다가 보이지 않는 카페이다. 바다는안보여요 카페에서는 구좌읍에서 키운 당근으로 만든 당근주스와 이외에 다양한 음료와 간단한 식사류가 준비되어 있다. 카페 내에 소설책과 만화책이 구비되어 있으며  여행시 간단한 식사를 하기에 좋다.<br>,가능,0.0,10:00 ~ 22:00,연중무휴,아메리카노,에스프레소 / 카페라떼 / 쑥라떼 / 에이드 외,모두 금연석,가능,,,"화장실:남녀공용  업소내 위치
",카페
2384971,지오아라,63528.0,지오아라,010-3013-0851,제주특별자치도 서귀포시 안덕면 사계로114번길 54-86 ,33.23635051,126.3078283,산방산 아래 자리한 지오아라는 카페와 펜션을 함께 운영하고 있다. 수제 차와 다쿠아즈가 유명하며 산방산 경치를 즐기며 따뜻한 차와 디저트를 즐길 수 있다.,,0.0,11:00~23:00,전화문의,에스프레소,아메리카노 / 카페모카 / 카라멜마끼야또 등,모두 금연석,가능,,전화 예약 문의 (010-3013-0851),,카페
2561782,랜딩 델리,63522.0,랜딩 델리,064-908-2401,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 ,33.3049514,126.3164039,랜딩관 제주신화월드 로비 앞에 위치한 랜딩 델리는 정성들여 장식한 케이크와 달콤한 기쁨을 선사하는 디저트 등을 구입할 수 있는 베이커리 카페이다. 뿐만 아니라  천연 벌꿀  유기농 과일 등 한국의 자연에서 채취한 재료로 만든 건강한 식료품을 판매하는 코너도 운영하고 있다. 노련한 파티셰의 손길에서 태어난 마카롱 세트도 맛볼 수 있다.,가능,1.0,08:00~20:00,연중무휴,한라봉 오렌지 티 케이크,제주땅콩무스 / 한라봉 케이크 / 마카롱 세트 등,모두 금연석,가능,가능,,"부대시설:공용주차장  화장실  무료 WIFI  흡연구역  편의점  음료대  유도 및 안내 시설  경보 및 피난 시설  노키즈존
",카페
2664574,허니문하우스,63599.0,,070-4277-9922,제주특별자치도 서귀포시 칠십리로 228-13 토평동,33.24419003,126.5788797,"옛날 파라다이스 호텔로 활용되었던 공간 중 일부를 수리해 2018년 11월에 카페로 만들어 새롭게 오픈했다. 정문에서부터 건물입구까지 가는 동안 바다를 끼고 숲이 펼쳐져 있어 마치 식물원에 온 듯한 느낌을 준다. 카페에서는 섶섬과 범섬의 조망이 가능하고  바다를 더 가까이 보고 싶다면 테라스에 있는 테이블에 앉아 감상할 수도 있다.  직접 만든 쿠키  케이크 등 디저트류와 각종 음료가 준비되어 있으며 오후 3시 이전에는 샌드위치  피자 등 식사가 가능하다. 이곳의 풍경은 이국적이고도 아름다워  볕이 좋은 날 근처를 여행할 일이 있다면 시간을 내어 방문해보자. 평생 잊지 못할 아름다운 추억을 선사해 줄 것이다.

(출처 : 제주 문화관광 홈페이지)",가능,0.0,10:00~18:30 (라스트 오더 18:00),연중무휴,당근주스 / 당근 케이크 /모짜렐라 치즈피자,아메리카노 / 카페라떼 / 카페모카 등,,가능,,,"화장실:있음
",카페
2753045,카페서연의집,63611.0,,064-764-7894,제주특별자치도 서귀포시 남원읍 위미해안로 86 ,33.26945235,126.6555891,카페 ‘서연의집’은 제주 올레길 5코스 중간에 위치한 영화 <건축학개론>의 촬영지다. 영화 <건축학개론> 제작진이 영화 속 추억의 흔적들을 보전하되 실제 ‘카페’로 활용할 수 있도록 건축한 새로운 공간으로 2013년 3월 오픈했다. 카페 변신 이후 영화 팬들과 제주 관광객들의 발길이 꾸준히 이어지고 있다. 영화 콘텐츠와 제주도의 지역적 특색을 함께 향유할 수 있는 명소로 떠오르고 있다. 여주인공을 맡은 배우 수지는 '국민 첫사랑'이라는 칭호를 얻었으며  잔잔한 영화에 생동감을 불어넣어 준 납득이 캐릭터는 머핀 메뉴로 남았다. 시원한 개방감을 주는 1층 폴딩도어 앞 또는 2층 테라스에 앉으면 제주도 푸른 바다와 파란 하늘을 막힘없이 즐길 수 있다.,가능,0.0,10:00 ~ 19:00 (라스트오더 18:00),연중무휴,서연의집 케이크,구좌당근주스 / 카카오라떼 / 사려니라떼 / 오설록프리미엄티 외,,가능,가능,불가,"부대시설:단체석  화장실  테라스
화장실:가능 (남녀 구분)
",카페
2755466,코코마마,63643.0,,064-782-5569,제주특별자치도 서귀포시 성산읍 일출로 258-11 ,33.46105234,126.9343189,성산일출봉 맛집으로 유명한 하와이안 씨푸드 레스토랑 코코마마에서는 다채로운 재료로 구성되어 있는 점보씨푸드를 맛볼 수 있다. 랍스터를 추가할 수 있는 점보씨푸드는 파인애플 볶음밥  가리비  자연산 홍합  황게  꼬치구이  오징어와 새우튀김  옥수수와 거기에 곁들일 네 가지 소스가 함께 제공된다. 통파인애플주스  망고주스  수박주스 등 계절마다 특색 있는 음료와 제주에서만 맛볼 수 있는 에일 맥주도 판매한다. 제주도의 푸른 바다를 감상하며 이국적인 분위기의 레스토랑에서 다양한 씨푸드를 즐길 수 있다는 점에서 서귀포를 찾는 많은 관광객들에게 사랑받는 공간이다.,가능,0.0,11:00~20:30 (16:00~17:00 브레이크타임)<br>19:30 라스트오더,매주 목요일,통 파인애플쥬스,랍스터 / 파인애플볶음밥 / 자몽에이드 외,,가능,가능,네이버 예약,"부대시설:단체석  발렛파킹  무선 인터넷 
화장실:가능
",카페
2755870,바다위에코끼리,63011.0,,070-4324-1694,제주특별자치도 제주시 한림읍 협재1길 27-6 ,33.39786775,126.2429415,코끼리를 닮은 비양도가 보여 ‘바다 위에 코끼리’라는 이름을 가진 카페이다. 푸르고 푸른 협재 바다를 바라보며 생각 정리를 하기 좋은 곳이다. 크로플에 아이스크림 또는 제주말차라테와 당근케이크를 주문하고 창 넓은 곳에 앉아서 지금까지 내가 걸어온 길  앞으로 내가 나아가야 할 길 등 잔잔한 바다가 전해주는 마음의 소리를 듣기 좋은 곳이다. 제주에서만 살 수 있는 기프트 샵도 같이 있어서 귀엽고 아기자기한 물품들을 사기 좋다. 협재 해수욕장 근처 한적하면서도 감성적인 카페를 찾는다면 적극적으로 추천한다.,가능,0.0,10:00~18:00,인스타그램에 공지,바코모카,땅콩크림라테 / 제주말차라테 / 아메리카노 / 티 / 수제당근케이크 외,,가능,가능,불가,"화장실:가능 (남녀구분)
부대시설:포토존
",카페
2755879,스마일러,63059.0,,070-8285-7558,제주특별자치도 제주시 애월읍 상고길 47 ,33.46995972,126.4158748,아이들과 가기 좋은 동물 카페 스마일러. 마당에는 염소  돼지  고양이  토끼  앵무새 등이 있고 미끄럼틀도 있어 아이들이 야외에서도 즐겁게 놀 수 있다. 주택을 리모델링한 카페에는 방별로 악어  거북이  개구리  새  물고기들이 있다. 열대어나 도마뱀 등 희귀 애완동물들 모두 분양할 수 있고 쉽게 키울 수 있도록 풀세팅된 키트도 있어 처음 애완동물을 기르고자 하는 사람도 사장님께 컨설팅을 잘 받아볼 수 있다.,가능<br>요금 (무료),0.0,주중 13:00~18:00<br>주말 11:00~18:00,매주 수요일,아메리카노,카라멜마끼야또 / 딸기주스 / 수제레몬차 / 자몽에이드 등,,가능,가능,070-8285-7558,"화장실:가능 (남녀구분)
부대시설:단체석  주차  무선 인터넷
",카페
