ID,명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,판매품목,품목별 가격,장서는 날,개장일,영업시간,쉬는날,매장안내,주차시설,문화센터 바로가기,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,화장실,상세정보
1013246,동문재래시장,63192,동문재래시장,,제주특별자치도 제주시 관덕로14길 20 ,33.5115624162,126.5260587646,동문재래시장은 오랜 역사를  지닌 전통 재래시장으로 제주도를 대표하는 시장 중 하나이다. 동문재래수산시장과  더불어 제주도에서 가장 중요하면서 대규모의 상설 재래시장을 구성하고 있다. 1945년  8월 광복 직후 형성된 것이 시초인데  이 시장은 당시 제주도의 유일한 상설시장으로  제주도 전체 상업 활동의 근거지가 되었다. 1954년 3월에 발생한 대형 화재로 시장  전체가 잿더미로 변하자 같은 해 11월 현재의 장소로 이전했다. 주요 취급 품목은  야채  과일  수산물  약초  곡물  의류 등이 있다. 제주도의 대표 재래시장인 만큼 신선한 해산물이 인기다. 갈치회를 비롯한 다양한 모듬회를 저렴한 값에 구매할 수 있으며  전복내장밥 삼합이나 통전복이 들어간 떡갈비 등 퓨전음식이 주목받고 있다.,064-752-3001,,농축수산물 / 과일 / 의류 / 잡화 등,,,1945년,08:00~21:00,연중무휴,,가능,,없음,,없음,있음,
1013258,서귀포매일올레시장,63591,서귀포아케이드상점가 진흥사업협동조합,064-762-1949,제주특별자치도 서귀포시 중앙로62번길 18 ,33.2501780068,126.5632364425,"서귀포 올레시장은 서귀포시에서 가장 큰 시장이며 1960년대 초반 자연발생적으로 생긴 재래시장으로 60여년 전통으로 서귀포 경제에 큰 밑받침이 되고있는 시장이다. 2001년 120m를 시작으로 현재 총620m에 달하는 아케이트상가를 설치하여 서귀포서민경제에 중추적인 역할을 담당하고 있으며 시장내부가 王자형으로 형성되어있어 쇼핑하기가 편리하다.
이곳 주차장은 1시간 무료주차시스템을 도입하여 고객에 최대한 편의를 제공하고 있으며  시장에서 물건을 구입한 고객의 편의를 위해서 무료로 원하는 장소로 배달하는 택배시스템을 갖추고 있다. 또한 미래의 잠재고객인 청소년들을 위한 야외 공연장 및 분수대가 있는 공원을 갖추고 있다.<br>",064-762-1949 / 064-762-2925,총연장 620m (200여 개 점포 / 140여 개 노점),농 수 축산물 및 공산품 일체,,,1964년,하절기 07:00-21:00<br/>동절기 07:00-20:00,연중무휴,홈페이지 안내 참고,있음 (무료),,불가,가능,가능,2개소,"장애인 편의시설:장애인 화장실
입점브랜드:자체 브랜드
"
1013289,이제주숍,63217,제주특별자치도 중소기업종합지원센터,064-751-3360,제주특별자치도 제주시 연삼로 473 ,33.4993528886,126.5405800026,"이제주숍은 제주의 대표 특산품  기념품 매장이다. 제주공항에서 차로 15분 거리에 본점이  서귀포시의 중문 ICC컨벤션에는 분점이 있고  청정제주의 대표격인 감귤  한라봉  황금향 등 만감류를 포함하여 다양한 제주산 식품  제품들을 판매하고 있다. 공공기관이 운영하는 판매장으로 믿을 수 있는 제품만을 취급하며  도내 전문가와 현장평가를 통해 까다로운 입점 절차를 통과한 엄선된 상품만을 판매하고 있다.

(출처 : 제주 문화관광 홈페이지)",064-751-3360,"지상1층  <BR>
면적 837㎡",제주농산품 / 제주수산품 / 제주가공식품 / 향장품 / 공예품 등,,,2008년 3월 21일,09:00~19:00,연중무휴,지상 1층,"가능(120대, 대형 3대)",,가능,,가능,유,"제조자 이름:
장애인 편의시설:장애인 화장실
구입방법안내:직접 방문 구입 가능 <BR>
온라인쇼핑몰 http://mall.ejeju.net  및  전화문의(064-751-3360)
입점브랜드:자체 브랜드  제주마씸
"
1014672,제주 중앙지하상가,63168,제주중앙지하상가,064-752-8776,제주특별자치도 제주시 중앙로 60 ,33.5131677726,126.52466996,제주시내 번화가인 중앙로에는 낡은 시설을 개.보수하여 새롭게 단장한 현대적인 지하아케이드가 조성되어 있다. 중앙로를 기점으로 서문로에서 동문로까지 잇는 지하 아케이드는 현재 300여 개의 점포가 들어서 있다. 주로 의류점이 많고 그 외 신발  액세서리  안경  시계  보석  가방  모자 등을 판매하는 상점들이 들어서 있으며 식당  패스트푸드점 등과 중간  중간에는 휴게 시설도 마련되어 고객의 쉼터도 자리잡고있다. 제주도 유일 지하상가이며 쾌적하고 가장 활발한 쇼핑 명소이다.,064-752-8776,"- 지하1층, 연면적 9.912㎡ <br />
- 점포수 약 370여 개",의류 / 아웃도어 / 화장품 / 신발 / 악세사리 / 잡화 등,,,1983년 11월 31일,10:00~22:00 (점포별 상이함),연중무휴 (점포별 상이함),,가능 (제일공영주차장 / 중앙주차장(제주은행본점 앞) / 칠성제1주차장 / 중앙로터리 주차장),,없음,,가능,화장실완비,"세금환급방법:카드사용인 경우 국세청자동신고 현금고객인경우 현금영수증발급
"
132251,한국기념품백화점,63081,한국기념품백화점,064-742-0987,제주특별자치도 제주시 원노형로 13 (노형동),33.4874227654,126.484796233,‘한국기념품백화점’은1973년도에 창립되어 지금까지 이어져오고 있는 제주에서 가장 오래되고 전통있는 외국인 전용 민예품점이다.,064-742-0987,1층(551.52㎡),토산품,,,,11:00~18:00<br>※ 국제선 시간에 따라 변경됨,연중무휴,,,,불가,,가능,,"이용자격:외국인
"
2893682,뉴월드_신제주점,63133,,,제주특별자치도 제주시 연동 294-2 ,33.4853786835,126.4933899765,-,064-745-4600,,식료품,,월~일요일,,01:00-24:00,,환급서비스 제공방식 : 즉시+사후,가능,,,,가능,완비,
132159,"고성5일시장 (4, 9일)",63640,,064-760-4282,제주특별자치도 서귀포시 성산읍 고성오조로 93 ,33.4518891163,126.9127293498,고성장은 제주도 동부 관광명소인 성산일출봉이 있는 성산읍사무소 소재지 마을인 고성리에 위치하고 있으며 국도 12번 도로에 접하고 있다. 1984년 현재 위치로 이설 한 후  성산읍 주민은 물론 인근 우도면과 구좌읍 주민들도 이용하는 비교적 큰 5일장이다. 도심의 오일시장과는 사뭇 다른 시골장터 분위기를 느낄 수 있다. 특별한 상품보다는 청과물  수산물  정육  생활용품  의류  농기구 등 생활에 필요한 모든 물품이 갖추어져 있어 없는 것이 없다는 표현이 어울린다. 그리고 근처에는 제주 명소들이 인접해 있다. 성산읍의 정취와 정겨움을 느끼고 싶다면 고성오일시장을 방문해 보는 것을 추천한다.,064-760-4281,,"수산물,  농산물,  의류,  잡화류  등",,"매월 4, 9, 14, 19, 24, 29일",,08:00 ~ 14:00,,,가능 (공영주차장),,없음,,없음,있음,
132160,"표선 5일시장 (2, 7일)",63629,표선면 산업담당부서,064-760-4475,제주특별자치도 서귀포시 표선면 표선동서로 203-1 ,33.3225437337,126.8304061108,"표선 5일시장은 표선 시내 중심가에 위치해 있다. 매월 2일  7일에 열리는 표선오일시장은 제주 남쪽 사람들의 정겨움을 느낄 수 있는 작은 시장이다.
표선오일시장은 생활용품  농산물을 판매하는 가장 큰 건물과 다양하고 신선한 제철 수산물을 판매하는 어시장  그리고 순대국밥과 고기국수를 판매하는 작은 식당 총 3개의 건물로 나누어져 있다. 그중 어시장은 표선항을 끼고 있어  질 좋은 수산물을 합리적인 가격에 얻을 수 있는 것이 큰 특징이 있다.
주변에 표선해수욕장  성읍민속마을  해비치호텔 등의 관광지가 있다.",064-760-4471(표선면 사무소),어시장1동 농산물1동 식당1동,"야채류, 잡화류, 어물류, 양품류, 과일류, 철물류 등",,"매월 2, 7, 12, 17, 22, 27일",,08:00~14:00 (매우 작은 시장이라 파장이 빠름),"상설시장이 없으므로 2,7일을 제외한 날",,주차가능,,없음,없음,가능,있음(남/녀구분),"입점브랜드:야채 / 청과 / 수산물 / 의류 / 생활용품
"
132161,대정오일시장,63506,,064-730-1615,제주특별자치도 서귀포시 대정읍 신영로36번길 65 (대정읍),33.2204929929,126.2483310829,대정오일시장은 6·25전쟁 당시 문을 연 곳으로 제주도 서부 지역에서 가장 큰 오일시장이다. 모슬포에 자리 잡고 있어 모슬포 오일장이라고도 불리며 당시 대정읍에는 비행장과 육군훈련소가 있어 필요한 생활용품 및 물자가 오가다 보니 점차 커지게 되었고 자연스레 시장이 형성되었다고 한다. 대정읍 내에서 자리를 몇 번 옮기며 지금은 현재의 자리인 대정읍 하모리에 자리를 잡았다. 큰 규모만큼이나 선원들이 필요한 물품 등 취급하지 않는 상품이 없고 다양한 먹거리까지 준비되어 있으니 출출한 배를 달래려 방문해 보는 것도 나쁘지 않다. 대정 오일장은 매월 1일  6일에 장이 열린다. 다만  31일이 있는 달에는 31일에 문을 열고 다음 날 1일에는 열리지 않으니 참고하는 것이 좋다.,하모3리 사무소 064-794-7995,,생황용품 / 건어물 / 수산물 / 의류 / 청과 등,,1일 / 6일 / 11일 / 16일 / 21일 / 26일 / 31일,,08:00~14:00<br>※ 개점과 폐점 시간 일정하지 않으므로 전화문의 요망,,,가능,,없음,,없음,있음,
2893690,PAT제주지상점,63192,,,제주특별자치도 제주시 관덕로 56(이도일동) ,33.5129789143,126.5252838006,-,064-757-7700,,"남성의류,악세서리,여성의류",,월~일요일,,09:30-21:00,명절,환급서비스 제공방식 : 사후,가능,,,,가능,완비,
