ID,명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,좌석수,주차 시설,어린이놀이방,개업일,영업시간,쉬는날,대표메뉴,취급메뉴,할인정보,금연/흡연,신용카드정보,포장가능,예약안내,상세정보,인허가번호
134977,보영반점,63030,보영반점,064-796-2042,제주특별자치도 제주시 한림읍 한림로 692-1 ,33.4165771361,126.2651835921,"보영반점은 제주특별자치도 제주시 한림읍에 위치하고 있다.
정통 중국요리 전문점으로 음식 하나하나에 정성을 다하고 있는 곳으로 각종 중국요리를 맛볼 수 있는 곳이다.
특히 짜지 않고 담백한 간짬뽕이 유명하여 제주도민은 물론이고 전국 각지에서 여행객들이 방문하고 있다.",064-796-2042,,,주차 가능,0,,11:00~19:30,매주 목요일,간짬뽕,짜장면 / 간짬뽕 / 우동 / 볶음밥 / 깐풍새우 / 양장피 외,,모두 금연석,가능,가능(일부 메뉴),전화 예약 가능 (064-796-2042),"화장실:남녀개별 / 업소 내부 위치
",19760627182.0
134980,성산 해촌,63643,해촌,064-784-8001,제주특별자치도 서귀포시 성산읍 일출로 220 ,33.4592219201,126.9300582348,해촌 갈치요리 전문점에서는 창밖으로 성산일출봉이 한눈에 내다보이고 파란 바다가 펼쳐져 있는 경치가 아름다운 집으로 건물 바로 밑이 바다여서 마치 바다 위의 선상에서 식사를 하는 것처럼 느껴질 수도 있다. 식탁이 모두 원목 테이블로 되어 있어 화사한 분위기를 느낄 수 있으며  바다를 바라보며 식사할 수 있는 곳이다.,064-784-8001,,,주차 가능,0,,07:00 ~ 22:00,연중무휴,갈치회,갈치회 / 전복뚝배기 / 뚝배기갈치조림 외,,모두 금연석,가능,가능,전화 예약 문의 (064-784-8001),"화장실:남녀개별 / 업소 내부 위치
",19930631133.0
135288,고우니가든,63343,고우니가든,064-782-1418,제주특별자치도 제주시 조천읍 남조로 2625 ,33.4964050036,126.6524703491,말고기는 소와 같은 채식성 육류의 일종으로 소 보다 높은 육질과 영양을 가지고 있다. 고우니가든은 직접 제주 토종 조랑말을 제주도의 청정 지역에서 방목하며  월 2회 말을 도축하는 날이면 싱싱한 간과 검은 지름  육회 등을 맛볼 수 있는 기회를 제공한다. 현재 고우니가든에서는 말고기를 비롯  꿩·토종닭·청둥오리 등 청정지역 제주를 대표할 수 있는 주력 품목 들을 제공하고 있다.,064-782-1418,,,가능,0,,10:00~22:00,연중무휴,말갈비찜,말육회 / 말구이 / 말샤브샤브 / 토종닭백숙 / 꿩메밀국수 외,,모두 금연석,가능,,전화 예약 문의 (064-782-1418),,19950627030.0
1847759,삼다해물뚝배기,63601,삼다해물뚝배기,064-733-0591,제주특별자치도 서귀포시 일주동로 8167 ,33.2602915999,126.6148456324,삼다해물뚝배기는 깔끔하고 시원한 국물에 커다란 전복이 들어간 해물뚝배기가 주메뉴다. 현대식 인테리어에 정갈한 음식으로 젊은 층에 인기가 많다. 식사를 마친 후 바로 옆에 주인이 운영하고 있는 작은 갤러리도 방문해볼 만하다. 직접 모은 앤티크 소품들과 그림들이 가득하고 무료로 커피와 차를 마실 수 있다.,064-733-0591,,,가능,0,,08:00~21:00,연중무휴,활 전복 뚝배기 / 전복 성게 비빔밥,성게국 / 전복죽 / 옥돔구이 등,,모두 금연석,가능,가능,전화 예약 문의 (064-733-0591),,20060631176.0
1861336,광양해장국집,63209,광양해장국집,0507-1415-1780,제주특별자치도 제주시 광양13길 25 ,33.4998832591,126.5326584566,"제주시 이도2동에 위치한 해장국 전문점이다. 가게 앞에 넓은 주차장이 있어 주차가 불편한 동네에 위치해있지만 걱정하지 않아도 된다. 이곳은 1987년부터 장사를 시작해 현재까지 역사와 전통을 이어가고 있는 노포이다. 내부는 굉장히 넓어 한꺼번에 많은 인원이 들어와도 문제없다. 메뉴는 소뼈해장국  해장국  내장탕이 있다. 소뼈해장국은 먹기 좋은 크기의 소뼈가 가득 들어가 있는 해장국이다. 마치 갈비탕이나 감자탕을 연상케 하는 비주얼이다. 이곳의 최고 인기 메뉴는 해장국이다. 다른 곳과 달리 양지가 아닌 아롱사태가 들어가 있어 색다른 느낌을 준다.

(출처 : 제주 문화관광 홈페이지)",064-751-1777,,,가능,0,,06:00~15:00,매주 월요일,해장국,소뼈해장국 / 내장탕 외,,,없음,,,,19900627204.0
2654442,춘심이네,63532,춘심이네,064-794-4010,제주특별자치도 서귀포시 안덕면 창천중앙로24번길 16 ,33.2645067162,126.3705528309,제주특별자치도 서귀포시에 위치한 한식당이다. 갈치구이는 제주도의 대표메뉴이다. 대표메뉴는 갈치구이이다.,064-794-4010,,,가능,0,,10:30 ~ 20:00 (브레이크타임 15:30 ~ 17:00),연중무휴,갈치구이,갈치구이 / 갈치조림,,금연,없음,,,"화장실:남녀구분

",20150631230.0
1866904,가시식당,63623,가시식당,064-787-1035,제주특별자치도 서귀포시 표선면 가시로565번길 22 ,33.3531116357,126.7714466301,가시식당은 가시보건진료소 인근에 자리 잡은 40년 이상의 전통을 자랑하는 순댓국 전문점이다. 실내는 편안한 가정집 분위기의 입식 홀 구조이다. 돼지 잡뼈를 넣고 우린 육수에 순대와 내장을 말아 뚝배기에 담아내는 순댓국과 철판 위에 은박지를 깔고 볶아먹는 돼지고기 두루치기가 인기메뉴이다.,064-787-1035,,,가능(인근 가시리사무소 주차장),0,,08:30~20:00<br>(브레이크타임 15:00-17:00),"매달 2,4번째 일요일 / 명절 당일 및 다음날",순댓국,순댓국 / 수육 / 두루치기 / 순대국밥 / 몰망국(몸국) / 고기국수 / 삼겹살 등,,모두 금연석,없음,,전화 예약 가능 (064-787-1035),,19820631030.0
1883573,마돈,63641,마돈,064-784-5379,제주특별자치도 서귀포시 성산읍 섭지코지로 56 ,33.4374853001,126.921892777,마돈은 제주 서귀포시 성산읍 섭지코지 인근에 위치한 제주말고기와 흑돼지 전문점이다. 이곳은 청정 제주 농장의 흑돼지와 푸른 초원에서 자란 건강한 제주마[馬]만을 고집한다. 또한 쌈 채소와 밑반찬을 직접 농사지어 유기농으로 제공하여 믿고 방문할 수 있다. 대표 메뉴는 마사시미  마구이  흑돼지 오겹살이다. 주변 관광지로 성산일출봉  섭지코지  아쿠아플라넷  우도 등이 있다.,064-784-5379,,,가능,0,,10:00~22:00,연중무휴,마정식코스,마정식코스 / 마사시미 / 마육회 / 마특수부위 등,,모두 금연석,가능,가능(일부 메뉴),전화 예약 가능 (064-784-5379),"화장실:있음
",20120631430.0
1891955,명문가시리식당,63623,명문가시리식당,064-787-1121,제주특별자치도 서귀포시 표선면 중산간동로 5218 ,33.352842211,126.7707744722,명문가시리식당은 저렴한 가격에 부담 없이 식사가 가능한 곳이다. 돼지고기를 삶은 육수에 몸(모자반)이라는 바다의 해초  메밀가루가 어우러진 몸국  돼지 내장으로 만드는 토속순대  흑돼지 등 다양한 메뉴를 제공하며  비싼 흑돼지가 부담되는 경우 흑돼지와 무채  파 등을 넣어 불판에 익혀먹는 두루치기를 저렴한 가격에 즐기는 것도 좋다. 보말미역국의 경우 해녀가 직접 채취한 보말을 사용하여 제공한다.,064-787-1121,,,가능,0,,09:00~21:00,연중무휴,몸국,보말국 / 몸순대국 / 고기국수 / 흑두루치기 / 흑돼지삼겹살 등,,모두 금연석,가능,,전화 예약 가능 (064-787-1121),,19860631023.0
1984158,용두암바당회국수,63150,바당회국수,064-711-6754,제주특별자치도 제주시 서해안로 614 ,33.5169642249,126.5027606683,"용두암 해안도로에 위치해 탁 트인 바다를 보며 찾아갈 수 있다. 제주도에서만 맛볼 수 있는 해산물 요리와 해산물을 이용한 국수 요리를 제공한다. 활어회를 넣은 회국수와 전복을 넣은 전복 회국수  전복뚝배기 등이 인기 메뉴다. 갈치조림을 시키면 전복 내장으로 볶은 게우밥을 내주는데 고소한 맛이 일품이다. 국수 대신 칼국수를 넣어 달라고 하면 칼국수로 제공해 준다.

(출처 : 제주 문화관광 홈페이지)",064-711-6754,,,가능,0,,08:00~22:00,연중무휴,활어회 / 생선조림,활어회 / 생선조림 / 해산물모듬 / 성게국수 / 활어회국수 / 갈치조림 / 회덮밥 등,,모두 금연석,가능,,전화 예약 문의 (064-711-6754),,20020627434.0
