id,name,category,theme,address,address_detail,lat,lng,tags/0,tags/1,tags/2,tags/3,description,main_menu,opening_hours,closed,phone,theme_category,tags/4
KCLANPO23N000000093,신명지,관광지,유명사적/유적지,제주특별자치도 제주시 애월읍 봉성리 500416,정보없음,33.41878956,126.3146237,유명사적,제주,서부지역,유적지,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화유산,
KCLANPO23N000000108,유어선매표소,관광지,관광안내소/매표소,제주특별자치도 제주시 구좌읍 종달리 478-10,해맞이해안로 2274,33.49726092,126.9110722,제주,관광안내소,매표소,동부지역,정보없음,정보없음,정보없음,정보없음,정보없음,관광안내소/매표소,바다 전망
KCLANPO23N000000109,동산물감귤체험농장,관광지,관광농원/허브마을,제주특별자치도 서귀포시 성산읍 수산리 1948,서성일로 809,33.43626012,126.8672266,허브마을,제주,동부지역,관광농원,정보없음,정보없음,정보없음,정보없음,정보없음,체험/레저,
KCLANPO23N000000189,제주돌마을공원,관광지,일반관광지,제주특별자치도 제주시 한림읍 금능리 368-2,금능남로 421,33.35379119,126.2536938,일반관광지,제주,서부지역,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000000253,천지연폭포매표소,관광지,관광안내소/매표소,제주특별자치도 서귀포시 서홍동  666-1,남성중로 2월 15일,33.24473612,126.5596785,매표소,제주,관광안내소,,정보없음,정보없음,정보없음,정보없음,정보없음,관광안내소/매표소,
KCLANPO23N000000296,한라산어리목탐방로,관광지,관광안내소/매표소,제주특별자치도 제주시 해안동  산220-13,1100로 2070-61,33.39209963,126.4940964,매표소,제주,관광안내소,,정보없음,정보없음,정보없음,정보없음,정보없음,관광안내소/매표소,
KCLANPO23N000000354,명월대,관광지,천연기념물,제주특별자치도 제주시 한림읍 명월리 1847-3,하운당길 2,33.388753,126.2663994,천연기념물,제주,서부지역,,정보없음,정보없음,정보없음,정보없음,정보없음,자연경관,
KCLANPO23N000000368,제주관광안내소,관광지,관광안내소/매표소,제주특별자치도 제주시 용담이동  483,용두암길 15,33.51484201,126.5114212,매표소,제주,관광안내소,,정보없음,정보없음,정보없음,정보없음,정보없음,관광안내소/매표소,
KCLANPO23N000000461,제주마방목지,관광지,일반관광지,제주특별자치도 제주시 용강동  산14-34,516로 2480,33.42769728,126.603715,일반관광지,제주,,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000000547,우도등대공원우도등대,관광지,일반관광지,제주특별자치도 제주시 우도면 연평리 337,우도봉길 105,33.49257948,126.9657905,일반관광지,제주,,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
KCLANPO23N000000561,제주드림랜드,관광지,일반관광지,제주특별자치도 제주시 애월읍 봉성리 4554,평화로 1529,33.36301766,126.3641092,일반관광지,제주,서부지역,,정보없음,정보없음,정보없음,정보없음,정보없음,관광명소,
