id,name,theme,address,address_detail,lat,lng,description,main_menu,opening_hours,closed,phone,theme_category
KCLANPO23N000000109,동산물감귤체험농장,체험마을,제주특별자치도 서귀포시 성산읍 수산리 1948,서성일로 809,33.43626012,126.8672266,정보없음,정보없음,정보없음,정보없음,정보없음,액티비티형
KCLANPO23N000000189,제주돌마을공원,공원,제주특별자치도 제주시 한림읍 금능리 368-2,금능남로 421,33.35379119,126.2536938,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000000461,제주마방목지,체험마을,제주특별자치도 제주시 용강동  산14-34,516로 2480,33.42769728,126.603715,정보없음,정보없음,정보없음,정보없음,정보없음,액티비티형
KCLANPO23N000000547,우도등대공원우도등대,공원,제주특별자치도 제주시 우도면 연평리 337,우도봉길 105,33.49257948,126.9657905,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000000561,제주드림랜드,체험마을,제주특별자치도 제주시 애월읍 봉성리 4554,평화로 1529,33.36301766,126.3641092,정보없음,정보없음,정보없음,정보없음,정보없음,액티비티형
KCLANPO23N000000619,일출랜드,테마파크,제주특별자치도 서귀포시 성산읍 삼달리 1010,중산간동로 4150-30,33.38321007,126.8414037,정보없음,정보없음,정보없음,정보없음,정보없음,액티비티형
KCLANPO23N000000621,소인국테마파크,테마파크,제주특별자치도 서귀포시 안덕면 서광리 725,중산간서로 1878,33.29010357,126.3225065,정보없음,정보없음,정보없음,정보없음,정보없음,액티비티형
KCLANPO23N000000622,제주미니랜드,테마파크,제주특별자치도 제주시 조천읍 교래리 산56-4,비자림로 606,33.43316296,126.6739975,정보없음,정보없음,정보없음,정보없음,정보없음,액티비티형
KCLANPO23N000000623,퍼시픽리솜,테마파크,제주특별자치도 서귀포시 색달동  2950-17,중문관광로 154-17,33.24387572,126.4156193,정보없음,정보없음,정보없음,정보없음,정보없음,액티비티형
KCLANPO23N000000624,도깨비공원,테마파크,제주특별자치도 제주시 조천읍 선흘리 799519,번영로 1488,33.46336387,126.692139,정보없음,정보없음,정보없음,정보없음,정보없음,액티비티형
KCLANPO23N000001052,여미지식물원,공원,제주특별자치도 서귀포시 색달동  213304,중문관광로 93,33.252661,126.414292,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000003441,갯깍주상절리대,바다,제주특별자치도 서귀포시 상예동  978,정보없음,33.24076097,126.3962622,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000003442,거린사슴전망대,산,제주특별자치도 서귀포시 대포동  산2-11,1100로 823,33.30732548,126.4540557,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000003443,거믄여해안경승지,바다,제주특별자치도 서귀포시 토평동  475-4,정보없음,33.24379929,126.5816265,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000003445,렛츠런팜,체험마을,제주특별자치도 제주시 조천읍 교래리 산25-2,남조로 1660,33.41589177,126.6793436,정보없음,정보없음,정보없음,정보없음,정보없음,액티비티형
KCLANPO23N000003456,귀덕해안도로,드라이브,제주특별자치도 제주시 한림읍 귀덕리 417229,정보없음,33.44319079,126.2886439,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000003462,김녕미로공원,공원,제주특별자치도 제주시 구좌읍 김녕리 산16,만장굴길 122,33.53680399,126.7724507,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000003463,김녕해안도로,드라이브,제주특별자치도 제주시 구좌읍 김녕리 483-4,정보없음,33.5602704,126.7628007,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000003469,남도리쉼터,바다,제주특별자치도 제주시 애월읍 신엄리 331093,정보없음,33.47716898,126.3535976,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000003473,남원해안도로,드라이브,제주특별자치도 서귀포시 남원읍 남원리 1408-2,태위로 536,33.27489731,126.7090426,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000003479,논짓물,바다,제주특별자치도 서귀포시 하예동  568,정보없음,33.23723652,126.3891241,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000003482,다랑쉬오름,산,제주특별자치도 제주시 구좌읍 세화리 산6,정보없음,33.47637057,126.8214831,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000003487,대유랜드,스포츠시설,제주특별자치도 서귀포시 상예동  144,상예로 381,33.27773158,126.3953294,정보없음,정보없음,정보없음,정보없음,정보없음,액티비티형
