id,name,theme,address,address_detail,lat,lng,description,main_menu,opening_hours,closed,phone,theme_category
KCLANPO23N000019135,삼사석지,유적지,제주특별자치도 제주시 화북일동  1380-1,정보없음,33.52102968,126.5738739,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화형
KCLANPO23N000019199,제주모슬포알뜨르비행장일제지하벙커,유적지,제주특별자치도 서귀포시 대정읍 상모리 1670,정보없음,33.20431892,126.2715847,정보없음,정보없음,정보없음,정보없음,정보없음,역사/문화형
KCLANPO23N000019281,무병장수테마파크,체험마을,제주특별자치도 제주시 애월읍 어음리 476,어음13길 196-11,33.3953304,126.3603837,정보없음,정보없음,정보없음,정보없음,정보없음,액티비티형
KCLANPO23N000019290,제주마테마파크,테마파크,제주특별자치도 서귀포시 성산읍 난산리 260451,서성일로 500-8,33.41785147,126.8419583,정보없음,정보없음,정보없음,정보없음,정보없음,액티비티형
KCLANPO23N000019293,참귀한농장,체험마을,제주특별자치도 서귀포시 성산읍 온평리 2454,정보없음,33.40280314,126.8838855,정보없음,정보없음,정보없음,정보없음,정보없음,액티비티형
KCLANPO23N000019297,서귀포치유의숲,산,제주특별자치도 서귀포시 호근동  산1,산록남로 2271,33.29199078,126.5269492,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000019302,제주민속마을,체험마을,제주특별자치도 제주시 구좌읍 행원리 3503,월덕로 474,33.50978368,126.7707914,정보없음,정보없음,정보없음,정보없음,정보없음,액티비티형
KCLANPO23N000020310,로봇스퀘어,테마파크,제주특별자치도 제주시 구좌읍 한동리 1294,해맞이해안로 1032,33.53998487,126.8308968,정보없음,정보없음,정보없음,정보없음,정보없음,액티비티형
KCLANPO23N000020341,중문미로파크,테마파크,제주특별자치도 서귀포시 상예동  620974,정보없음,33.26317797,126.3814838,정보없음,정보없음,정보없음,정보없음,정보없음,액티비티형
KCLANPO23N000020550,알프스얼음보석궁전테마파크뮤지엄,테마파크,제주특별자치도 제주시 한경면 청수리 958,연명로 147,33.29124336,126.2491127,정보없음,정보없음,정보없음,정보없음,정보없음,액티비티형
KCLANPO23N000020638,수목원길,공원,제주특별자치도 제주시 연동  1327,정보없음,33.47119857,126.4881139,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000020651,제주신화월드,테마파크,제주특별자치도 서귀포시 안덕면 서광리 산24,신화역사로304번길 38,33.30425179,126.3176726,정보없음,정보없음,정보없음,정보없음,정보없음,액티비티형
KCLANPO23N000020732,오라메밀꽃밭,공원,제주특별자치도 제주시 오라이동  산76,정보없음,33.42715043,126.5057508,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000021171,번개레이싱,스포츠시설,제주특별자치도 서귀포시 안덕면 서광리 산39,녹차분재로 218,33.30465482,126.2999354,정보없음,정보없음,정보없음,정보없음,정보없음,액티비티형
KCLANPO23N000021400,제주불빛정원,공원,제주특별자치도 제주시 애월읍 유수암리 1083,평화로 2346,33.42168511,126.409489,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000021401,황우지해안,바다,제주특별자치도 서귀포시 서홍동  765-1,남성로 92,33.24161287,126.5506016,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000021403,봉봉감귤체험농장,체험마을,제주특별자치도 서귀포시 남원읍 신례리 720-1,중산간동로7141번길 16,33.28162578,126.6298205,정보없음,정보없음,정보없음,정보없음,정보없음,액티비티형
KCLANPO23N000021408,예래로벚꽃길,공원,제주특별자치도 서귀포시 하예동  293,예래로 234,33.24402814,126.3886459,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000021573,화조원,테마파크,제주특별자치도 제주시 애월읍 납읍리 58,애원로 804,33.41059307,126.3722595,정보없음,정보없음,정보없음,정보없음,정보없음,액티비티형
KCLANPO23N000021695,로맨틱메이즈,공원,제주특별자치도 서귀포시 법환동  877,법환상로2번길 97-13,33.24720044,126.5125947,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000022098,남원큰엉해변,바다,제주특별자치도 서귀포시 남원읍 남원리 175012,태위로 522-17,33.27296019,126.7033674,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000022101,알작지해변,바다,제주특별자치도 제주시 내도동  ,정보없음,33.49594287,126.4395065,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000022102,엉알해안,바다,제주특별자치도 제주시 한경면 고산리 ,정보없음,33.29957904,126.1674029,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000022105,종달리해변,바다,제주특별자치도 제주시 구좌읍 종달리 ,정보없음,33.49588816,126.9096139,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000022217,후포해변,바다,제주특별자치도 제주시 추자면 대서리 ,정보없음,33.96258466,126.289257,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000022218,신대해안,바다,제주특별자치도 제주시 추자면 예초리 ,정보없음,33.95266159,126.3381699,정보없음,정보없음,정보없음,정보없음,정보없음,자연/경치형
KCLANPO23N000022464,중문오프로드체험장,스포츠시설,제주특별자치도 서귀포시 상예동  150,상예로 349,33.27585833,126.3968692,정보없음,정보없음,정보없음,정보없음,정보없음,액티비티형
