ID,명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,수용인원,쉬는날,개장기간,이용시간,입장료,체험가능연령,주차시설,주차요금,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보
김녕요트투어,63348,,,제주특별자치도 제주시 구좌읍 구좌해안로 229-16 ,33.5582634073,126.7371893521,김녕 일대는 돌고래 서식지로 돌고래와 요트가 함께 유영하는 장관을 연출한다. 국내 최초 알루미늄 제작으로 고가의 친환경 세일요트 BONA520과 돌고래가 함께 유영하는 모습은 제주관광의 또다른 볼거리를 제공한다. 30년 요트경력의 운영진과 최고의 럭셔리 52피트 요트 보나(BONA)  김녕 해녀의 손에 건져진 바다 해산물(전복  소라  미역  문어  자연산 회)로 만들어진 격조 높은 dining까지 또 다른 행복의 세계로 초대한다.,,,,연중무휴,,10:00~18:00,,064-782-5271~3,,가능,없음,,,없음,"이용요금:[성인]<br>
- 60 000원<br>
[청소년 (중학생~고등학생)]<br>
- 60 000원<br>
[소아 (37개월~초등학생)]<br>
- 40 000원 <br>
체험프로그램:럭셔리 요트탑승  리얼세일링 체험  돌고래 서식지 탐방  선상 낚시 체험 등
부대시설:레스토랑 보나
"
추자군도,63000,제주특별자치도청 해양산업과,064-710-3250,제주특별자치도 제주시 추자면 추자로 ,33.9501296887,126.3095287389,목포에서 직선거리 93km  제주에서는 53km 북쪽에 위치한 이 섬은 추자도라 부르기 보다는 추자군도로 부름이 타당할만큼 49개에 이르는 대소 부속 도서들을 거느리고 있는 갯바위 일급지역이다. 이 추자도는 본섬인 상. 하추자도가 다리로 연결되어 있다. 추자도는 수심이 깊고  먼 바다에 떨어져 앉은 원도에 해당하므로 바람이 조금만 불어도 심한 파도로 배낚시는 거의 불가능해지기 때문에 갯바위낚시가 기본이 된다. 추자도의 낚시 포인트는 전 섬 모두에 해당된다. 그만큼 크고 작은 각 섬마다 포인트가 형성되어 있고 낚시가 시도되지 않은 곳이 없을만큼 거의 전 지역이 낚시터로 개발되어 있다. 따라서 낚시터 선정에 있어서는 물때만 맞춘다면 각자 개개인의 경험과 판단에 따라 어느 곳에서의 낚시든 무난하다.,,,,연중무휴,,상시개방,무료,,,,없음,,,없음,"이용요금:뱃삯 별도
"
제주항 서부두방파제,63276,제주낚시,064-758-8877,제주특별자치도 제주시 서부두길 22 ,33.5181617247,126.5284806266,연안낚시터로서 계절과 시간을 가리지 않고 조황이 좋아 늘 꾼들이 붐빈다. 테트러포스에서 던질낚시를 하면 스릴있는 손맛을 즐길 수 있다. 인근에 연안낚시터로 감성돔과 농어  참돔이 많이 올라오는 용두암 일대를 들 수 있다. 최근 8월~10월 사이에 농어 밤낚시로 자리가 없을 때가 많다. 또한  이곳에서는 매년 '전국바다낚시대회'가 개최되어 많은 관광객들이 참여한다.,,,,연중무휴,,상시 개방,무료,,,,없음,,,없음,"포인트안내:
이용요금:무료
주요시설:
"
차귀도 바다낚시,63008,제주웰컴센터 관광안내소,064-740-6001,제주특별자치도 제주시 한경면 고락로 200-52 ,33.3011472996,126.2053163667,차귀도는 제주의 여러 섬 중에서 빼어난 절경을 자랑하는 섬이다. 제주시 한경면 고산리 자구내포구에서 뱃길로 10분 거리에 있다. 차귀도 주변 바다는 수심이 깊고 참돔  돌돔  흑돔  벤자리  자바리 등의 다양한 어종이 잡힌다. 특히 1~3월 사이 낚시꾼이 많이 몰린다. 차귀도 주위를 한 바퀴 돌아볼 수 있는 쾌속정이 수시로 운항하며  낚시할 도구가 없을 경우에도 낚시도구가 갖추어진 소형어선을 빌려 배낚시가 가능하다. 어족이 풍부하여 낚시 경험이 없는 초보자도 고기가 잘 잡힌다. 배에는 약 15명 내외 인원이 탑승이 가능하기 때문에 함께 온 친구나 연인  가족들과 함께 낚시를 즐길 수 있다. 워낙 입질이 잦기 때문에 낚싯줄을 던지자마자 물고기가 잡히는 경우도 있다.,,,,※ 업체마다 상이하므로 전화문의 요망,,※ 업체마다 상이하므로 전화문의 요망,,,,가능,없음,,,없음,"이용요금:※ 업체마다 상이하므로 전화문의 요망
"
제주 조랑말타운,63624,제주 조랑말타운,,제주특별자치도 서귀포시 표선면 번영로 2486 ,33.4079305951,126.7722286455,제주 조랑말타운은 조랑말 위에서 펼쳐지는 러시아 후예들의 환상적인 마상마예공연 그 짜릿함을 경험할 수 있는 곳이다.,,"마평 - 20,000평 / 관람석 - 30석",,연중무휴,,09:00 ~ 17:30 (전화문의 요망),,,,주차 가능,없음,,,없음,"이용요금:* 체험<br />
- 기본코스 11 000원<br />
- 더블코스 25 000원<br />
- 목장코스 70 000원
부대시설: 휴게실  탈의실  샤워장  승마훈련장  마사  컴퓨터실  

"
제주청소년수련원,63016,제주청소년수련원,064-796-0924,제주특별자치도 제주시 한림읍 금능남로 128 ,33.3776143276,126.2363341931,제주청소년수련원은 청소년들의 건강한 성장과 다양한 체험을 위한 시설이다. 이곳은 자연과 어우러진 넓은 공간에서 체육 활동  문화 프로그램  캠프 등 다양한 프로그램을 제공하며  청소년들에게 자기 개발과 사회적 경험을 쌓을 기회를 준다. 제주청소년수련원은 안전하고 교육적인 환경에서 친구들과 함께 즐겁고 의미 있는 시간을 보낼 수 있는 장소이다.,,,약 500명,,,상시 개방,,,,가능,없음,,,없음,"포인트안내:
이용요금:전화 문의 
주요시설:객실  대강당  세미나실  소강당  생활관  지도자실  야외운동장  식당 등
"
오라컨트리클럽,63144,,,제주특별자치도 제주시 오라남로 130-16 (오라이동),33.4482081134,126.5132502034,오라컨트리클럽은 영주십경중의 하나인 한라산 영구춘화 계곡을 따라 그림처럼 펼쳐지는 2 018 369㎡의 대자연 위에 국제수준의 36홀 코스를 갖춘 제주도의 대표적인 골프장이다. 쾌적하고 다양한 부대시설을 갖추어 365일 연중무휴로 푸른 잔디 위에서 라운딩이 가능하며  One Caddie One Bag System 운영과 차별화된 고객서비스를 제공한다.,,"부지면적 2,018,369㎡",,연중무휴,,,,,,가능,없음,,,가능,"코스안내:6 433m / 7 035yard / par 72
이용요금:[비회원 기준]<br>
- 주중 180 000원<br>
- 주말 230 000원
- 카트비 100 000원<br>
- 캐디피 150 000원<br>
※ 자세한 안내는 홈페이지 참조
부대시설:클럽하우스  티하우스4동  연회장  프로샵  연습장  락커룸  개인금고

"
캐슬렉스제주 골프클럽,63523,캐슬렉스제주 골프클럽,,제주특별자치도 서귀포시 안덕면 평화로 1241 ,33.3402563388,126.3488696895,한라산과 한림바다가 한눈에 들어오는 남제주군 안덕면에 위치한 캐슬렉스제주 골프클럽은 1995년 개장 이래 국내 최초로 미국여자프로 골프협회 공식투어인 삼성월드챔피언쉽 여자 골프대회를 유치하는 등 제주를 대표하는 골프클럽으로 인정받고 있다. 구릉지를 이용해 코스를 조성하는 등 자연 지형의 특성을 살려 개성적인 링크스 스타일 골프 코스로 평가받는 캐슬렉스제주 골프클럽의 골프코스는 제주도 오름특유의 언듈레이션을 그대로 살려 자연과 절묘한 조화를 이룸으로써 파워와 테크 그리고 부드러움을 요구하는 개성이 강한 골프코스로 구성되어 있다.,,"회원제 18홀, 퍼블릭 9홀",,연중무휴,,,,"홈페이지 : <a href=http://www.castlexjj.com"" target=""_blank"" title=""새창 : 제주캐슬렉스 골프클럽 홈페이지로 이동"">http://www.castlexjj.com</a><br />",,,,,,,
,가능,없음,,,없음,"이용요금:[그린피(정규홀  비회원 기준)]<br>
주중 200 000원 / 주말 및 공휴일 270 000원<br>
[그린피(퍼블릭홀  비도민 기준)]<br>
주중 65 000원 / 주말 및 공휴일 80 000원<br>
[캐디피]<br>
18홀 150 000원 / 9홀 80 000원<br>
[카트(5인승)]<br>
18홀 100 000원 / 9홀 50 000원<br>
※ 자세한 요금은 홈페이지 참조
부대시설:클럽하우스  프로샵  레스토랑  연회장  골프연습장
",,,,,,,,,,,,,,,,
갬주리코지(볼락코지),63514,갬주리코지,,제주특별자치도 서귀포시 대정읍 가파로 (대정읍),33.1738429901,126.2741882040,예전만해도 가파도를 낚시 포인트로 여기는 꾼들은 많지 않았다. 그러나 여름 태풍이 여러차례 제주도 해안을 강타하고 난 다음부터는 가파도 갯바위에도 돌돔과 벵에돔이 붙었다는 소문이 자자하다. 크고 작은 태풍이 지나면서 물속의 영양물들이 물속을 활발히 떠다니기 시작하면서 마라도보다 가파도가 오히려 좋은 조황을 보이고 있다. 또  물고기들이 한번 움직이면 앞이 보이지 않을 정도로 그 마릿수도 만만치 않으며  주로 수심 7m~8ｍ 정도의 얕은 바다에 몰려 있다고 한다. 3~5물때가 최고의 피크. 해뜰녘이나 해질 무렵에 입질이 집중된다.,,,,연중무휴,,상시 개방,,,,가능,없음,,,없음,"참고사항:소라  전복을 채취해 외부로 반출하는 것이 금지되어 있는 만큼 유의해야 한다.

"
