ID,명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,판매품목,품목별 가격,장서는 날,개장일,영업시간,쉬는날,매장안내,주차시설,문화센터 바로가기,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,화장실,상세정보
1863266,사회복지법인 평화의마을,63519.0,평화의 마을,064-794-6277,제주특별자치도 서귀포시 대정읍 중산간서로 2195-12 ,33.2790122238,126.2926509377,평화의 마을은 2012년 HACCP우수운용장업장선정  2013년 로하스 최우수상 및 우수상선정  2013년 IFFA육가공박람회 금메달 6개를 수상한 업체이다. 청정제주도의 흑돼지와 생야채를 주원료로 무보존료  무색소  무인공조미료  무대두단백  무아질산나트륨을 20년여간의 고집스러운 장인정신으로 지켜내며  좋은 사람들이 만들어가는 좋은 먹거리를 생산하는 수제 햄과 수제소시지를 생산하는 사회적 기업이다.,064-794-6277,,수제 소시지,,,,09:00~18:00,주말 / 공휴일,,,,불가,,가능,있음,"구입방법안내:온라인 : <a href=http://peacevil.ejeju.net"" target=""_blank"" title=""평화의마을 홈페이지로 이동"">http://peacevil.ejeju.net</a><br />"
문의 :  064-794-6277  8 ,,,,,,,,,,,,,,,,,,,,,,,,
"
1864828""",제일토산품,63168.0,제일토산품,064-753-7319,제주특별자치도 제주시 관덕로 24 ,33.5129733047,126.5218590979,제일토산품은 제주시 관덕정 바로 맞은편이 위치한 토산품 판매점이다. 토산품은 그 지방에서 특유하게 나는 물품으로 제주에서 잘 알려진  감귤  감귤초콜릿  돌하르방  꿀 등 다양한 제주 특산품을 판매한다. 주변에 재래시장과 로베로 호텔 등이 있어 접근성이 좋고 카페단단  모찌롱  미풍해장국 등 맛집이 있다.,064-753-7319 / 010-6685-7519,,제주특산품 등,,,,07:00~23:00<br>※ 정확한 영업시간은 전화 문의 요망,연중무휴,,가능 (토산품점 앞 주차장),,없음,,가능,유,
2718541,반짝반짝 지구상회,63025.0,,010-8155-1242,제주특별자치도 제주시 한림읍 귀덕6길 192 ,33.4288317168,126.2894700944,‘반짝반짝 지구상회’는 바다에서 주운 쓰레기로 만든 각종 예술품을 전시하고 판매하는 공간입니다. 또한  바다 쓰레기를 이용한 만들기 체험을 해볼 수 있습니다. 패션브로치  모빌  액자 등을 선택할 수 있으며 맥주병  소주병 등 다양한 색으로 빛나는 유리조각을 활용해 만들기를 체험할 수 있습니다.<br>,010-8155-1242,,유리공예품,,,,10:00 ~ 17:00,"월, 화, 수 휴무 (비정기 휴무 네이버플레이스, 인스타그램 참조)",,,,없음,,없음,,"체험안내:바다유리 액자 만들기 / 바다유리 브로치 만들기 / 바다유리 샌딩 브롯치 만들기 / 해녀모빌 만들기 / 실크스크린으로 에코백 만들기 
"
2765319,서부두수산시장,63276.0,,,제주특별자치도 제주시 임항로 49 (건입동),33.5170396509,126.5300138523,제주 국제공항에서 자동차로 15분 거리에 떨어져 있는 서부두 수산시장은 싱싱한 제철 생선을 저렴하게 만나볼 수 있는 수협 공판장이다. 매일 이른 아침이면 갓 잡은 생선이 부두를 통해 들어오며  경매에 부쳐진다. 경매가 끝나면 제철 생선과 각종 먹거리를 구경할 수 있는데  오전 일찍 가야만 만나볼 수 있다. 제주의 특산물인 은갈치부터 쥐치  옥돔  한치 등 다양한 생물을 판매한다. 근처에는 갓 잡은 생선들을 손질해 주는 회 센터가 많아 바로 먹거나  선물하기에도 좋다.,010-9840-4104,,당일 경매한 싱싱한 생선,,,상설시장,05:00~09:00,연중무휴,노점 상점 포함 25점포 내외,"불가 (인근 골목, 삼지천공원 이용)",,없음,없음,가능,가능 (남녀 구분),
2765334,한림매일시장,63031.0,,,제주특별자치도 제주시 한림읍 한림로 687 ,33.4161382914,126.2649364013,제주 한림에는 5일마다 열리는 한림 오일장과 매일 열리는 상설시장인 한림매일시장이 있다. 한림매일시장의 규모는 다른 매일 시장보다 작지만  농·축·수산물은 물론  의류  인테리어 가게  반찬 가게 등 알차게 구성된 시장이다. 여행자들을 위한 관광시장이라기보다 현지 도민들이 주로 이용하기 때문에 화려하지는 않지만  로컬의 분위기를 물씬 느낄 수 있다. 시장 안쪽에는 순대국밥으로 유명한 곳이 있는데  깔끔하고 푸짐한 양으로 현지인은 물론 여행객들도 즐겨 찾는 맛집이다.,064-796-5209,,"수산물, 정육, 과일, 채소, 잡화, 의류, 곡물, 기름, 간식거리 등",,,상설시장,08:00~20:00 (점포별 상이함),연중무휴 (점포별 상이함),"60개소, 면적 3882㎡",가능,,없음,,가능,가능 (남녀 구분),
2900852,스케쳐스 제주서귀,63595.0,,,제주특별자치도 서귀포시 이중섭로 4 (서귀동) ,33.2477671759,126.5641419733,-,064-732-9870,,신발,,월~일요일,,10:00-21:00,,환급서비스 제공방식 : 사후,불가능,,,,가능,완비,
2901046,뉴월드안경 제주이도,63197.0,,,제주특별자치도 제주시 중앙로 207(이도일동) ,33.5010580726,126.5291281816,-,064-758-3475,,안경,,월~일요일,,09:00-21:00,명절,환급서비스 제공방식 : 사후,가능,,,,가능,완비,
2901520,오설록 제주,63521.0,,,제주특별자치도 서귀포시 안덕면 신화역사로 15 ,33.3059564173,126.289381178,-,064-794-5312,,식료품,,월~일요일,,09:00-18:00,,환급서비스 제공방식 : 사후,가능,,,,가능,완비,
2901902,스킨푸드 제주지하,63168.0,,,"제주특별자치도 제주시 중앙로 지하 60(일도일동, 138, 139, 75호) ",33.5131899914,126.5246421845,-,064-723-2087,,향수 및 화장품,,월~일요일,,10:00-21:00,,환급서비스 제공방식 : 사후,불가능,,,,가능,완비,
